Package,Coach Type,Package days,Boarding Points,SUNDAY_ADULT,SUNDAY_CHILD,MONDAY_ADULT,MONDAY_CHILD,TUESDAY_ADULT,TUESDAY_CHILD,WEDNESDAY _ADULT,WEDNESDAY _CHILD,THURSDAY_ADULT,THURSDAY_CHILD,FRIDAY_ADULT,FRIDAY_CHILD,SATURDAY _ADULT,SATURDAY _CHILD,Single Ticket Extra Tariff
HYDERABAD-BOGATHA WATERFALLS,AC PACKAGE,"SAT,SUN","(CRO BASHEERBAGH Ph: 9848540371 : 06:15:00),(YATRINIVAS, Ph: 9848126947 : 06:00:00),(BOGATHA WATER FALLS : 16:00:00)",1550,1250,1550,1250,1550,1250,1550,1250,1550,1250,1550,1250,1550,1250,0
HYDERABAD-BOGATHA WATERFALLS,NON AC PACKAGE,"SAT,SUN","(CRO BASHEERBAGH Ph: 9848540371 : 06:15:00),(YATRINIVAS, Ph: 9848126947 : 06:00:00),(BOGATHA WATER FALLS : 16:00:00)",1450,1170,1450,1170,1450,1170,1450,1170,1450,1170,1450,1170,1450,1170,0
BALAJI DARSHAN,1000 PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,0
BALAJI DARSHAN,800 PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,0
BALAJI DARSHAN,550 PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,0
BALAJI DARSHAN,1200 PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,0
BALAJI DARSHAN,1300 PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,1000,700,0
HYDERABAD-WONDERLA,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 09:00:00),(CRO BASHEERBAGH Ph: 9848540371 : 09:30:00),(WONDERLA : 10:45:00)",1750,1400,1750,1400,1750,1400,1750,1400,1750,1400,1750,1400,1750,1400,0
HYDERABAD-SHIRIDI-ELLORA-TULJAPUR,PACKAGE,"WED,FRI","(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 15:00:00),(KPHB,Beside VRK SILKS, Ph: 9848540374 : 17:45:00),(	CHANDANAGAR GANDHI STATUE, Ph: 9848540374 : 18:00:00),(YATRINIVAS, Ph: 9848126947 : 16:45:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 17:00:00)",0,0,0,0,0,0,3050,2500,0,0,3050,2500,0,0,0
SPICE JET BALAJI DARSHAN ONE DAY,ONE DAY PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,0
SPCIE JET BALAJI DARSHAN TWO DAY,TWO DAY PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,0
HYD-SRISAILAM-SOMASILA-ROAD CUM RIVER,PACKAGE,"SAT,SUN,TUE","(CRO TANKBUND, Ph: 9848540371 : 07:00:00),(YATRINIVAS, Ph: 9848126947 : 07:30:00)",0,0,0,0,0,0,0,0,0,0,0,0,3499,2799,0
HYDERABAD-TIRUPATHI-KANIPAKAM ON DEMAND,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(KPHB,Beside VRK SILKS, Ph: 9848540374 : 18:00:00),(YATRINIVAS, Ph: 9848126947 : 19:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 19:15:00),(CRO TANKBUND, Ph: 9848540371 : 20:00:00)",3650,2930,3650,2930,3650,2930,3650,2930,3650,2930,3650,2930,3650,2930,250
HYDERABAD-KOMRELLY-VEMULAVADA-KONDAGATTU-HYDERABAD,PACKAGE,"SAT,SUN","(CRO BASHEERBAGH, Ph: 9848540371 : 07:00:00),(VEMULAWADA : 12:30:00)",1200,960,1200,960,1200,960,1200,960,1200,960,1200,960,1200,960,0
SPICE JET BALAJI DARSHAN TWO DAY WITH SIGHTSEEING AT TIRUMALA,TWO DAY PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(TIRUMALA : 10:00:00),(TIRUPATHI : 10:00:00)",14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,0
